"","MEgreen","MEred","MEtan","MEmagenta","MEturquoise","MEblack","MEblue","MEyellow","MEpink","MEgreenyellow","MEbrown","MEpurple","MEgrey"
"W28B",-0.126530694604184,-0.0515673405543524,-0.141977414500857,-0.0787909276662849,-0.135293343568314,0.0276215191455718,0.153357893663339,0.269372028936381,0.12681090411424,0.0578753525176661,0.0742910176632854,-0.272845651739973,0.415707481615611
"W304",-0.0875428957097221,-0.332467423215493,-0.131653247805501,-0.27552113736811,-0.0187966725393292,-0.2242376615705,0.0867573310873666,0.134155152806256,-0.251558638365944,0.0608571978251872,0.0215797420968898,0.0311358171703908,0.134722573857276
"W018",-0.17753104400359,0.00505069178178971,0.0462268975617722,0.0177083999244038,-0.108732302084402,0.125161170084948,0.207486644668208,0.278458912294406,0.259797925175474,0.019281758109522,0.150452039250462,-0.228601128884025,0.329716641884846
"W019",-0.162457682572876,-0.212830309388634,-0.27391714843664,-0.144787682391859,-0.371183047968224,0.235551078208602,0.361104256883007,0.109373411916855,0.116619164161713,0.161478700512869,0.0458108674108179,0.280431996981934,-0.403901805959452
"W242",-0.232333021067146,-0.0402766220294877,0.185255050832154,0.247842661941655,0.174842274769589,-0.213328303187271,-0.0751521296079303,-0.223502689740231,0.154834001563663,0.183321767212072,0.292766917960066,0.15059672957926,0.0629914256124544
"W247",-0.02118539612576,-0.0364366426499127,-0.0321698319247139,0.117610136958945,0.134700244781406,-0.143978405978264,-0.0869121918754349,-0.161180370792449,0.0184205004561493,-0.0168908537595405,0.109863480896921,0.114315094493857,-0.0485554932037045
"W249",-0.220746998476381,-0.120677507572861,-0.0165474675458733,0.135909279976418,0.160943714451509,-0.232894214774735,-0.0470879059703642,-0.168548345885208,0.0523124483582465,0.132356056528595,0.246063488162656,0.173185253118751,0.03409428722246
"W259",0.171416143087971,0.0932047292795839,-0.103576397034582,-0.060403447849953,0.0075566915314904,0.0387548454340847,-0.0738199335262662,0.0747495508852416,-0.107237895391589,-0.122291016766862,-0.151239851596807,-0.141395280263911,0.00140850747893895
"W263",0.18203076792709,0.0960669412365731,-0.0587125414852415,-0.102134942209979,0.004202528448396,0.0453503630518686,-0.0585757377492633,0.059899278592616,-0.159470387516735,0.035743803725206,-0.186101834532433,-0.107054144186093,-0.0201214151954186
"W265",0.180086830051041,0.0557566134681767,-0.109167987615324,-0.164311397448099,-0.0010133620919697,0.00369588434088072,-0.0901041959514578,0.08011296611562,-0.209867877499943,-0.120698487867219,-0.219861682921791,-0.149083894536989,0.0193450803771681
"W267",-0.0908090027995738,-0.0714770802438382,0.251457864469626,0.17883203048129,0.181605425916921,-0.216466325178591,-0.0916438884007717,-0.207070583712318,0.0655011663992122,0.247860191855156,0.226256547790837,0.153077120340441,0.0486844324223103
