"","MEgreen","MEpink","MEred","MEblue","MEpurple","MEbrown","MEyellow","MEgreenyellow","MEblack","MEturquoise","MEmagenta","MEtan","MEgrey","hypoxia"
"W149",0.0228440495714739,0.0796053001199715,0.24078783553744,-0.198264075123705,0.0769969634329324,0.174784690567153,0.312685429578073,0.146956195944277,-0.28617817574876,-0.208873871527735,-0.0940721281684443,-0.101231299920881,0.286562986042728,"2H"
"W152",-0.56353562700823,-0.200441034808754,-0.252730403613156,-0.0833350383600859,-0.452416871597764,-0.0442427423643874,-0.223883228359319,-0.214842065952169,0.296904342621136,0.15991092607419,0.44283025183222,0.480666163602107,-0.155622899479317,"2H"
"W173",0.046943536000575,-0.0712301359702261,-0.0708711276261239,0.480470036638485,0.312886676841936,-0.118424445908739,-0.120938369081514,0.0871189425242117,0.356174765472266,-0.0099151537504861,-0.0139391299682457,-0.0969020051856046,-0.5304514463067,"1N"
"W179",0.075738926407766,0.211484017157503,0.142591795287493,-0.0738888177935502,-0.00796151621567068,-0.0803078396567868,-0.199454891184481,0.0439179186204679,0.071507695918881,0.111328998022034,0.22616667334911,0.173208524212888,-0.0727222657142256,"1N"
"W180",-0.113456345689512,-0.27397288519741,-0.0434107235179325,0.183451698668978,0.125748525251509,0.0182589892362839,0.294215870888367,-0.0285936896951179,-0.0539512633416399,-0.307089995606793,-0.10075726028115,-0.186260644539681,-0.0540437157020462,"1N"
"W184",0.173663567057449,0.211129356382164,0.106108461283746,-0.0868882917985831,0.027045691432993,-0.0508641062054115,-0.140596025655806,0.103626721670903,-0.0251916212707986,0.127540381797928,0.0849807297151534,-0.0302167062184843,0.0200755653268339,"2H"
"W188",-0.119222963754258,-0.230094064697793,0.00846002279526972,0.117829694151406,0.0956988447463331,0.0532312967037836,0.288249232684475,-0.0161844057726747,-0.138630364843275,-0.34672654252466,-0.233590795921639,-0.178587676432432,0.0307718256401741,"1N"
"W209",0.123757485901941,-0.0647318791975321,-0.151434675620979,-0.0470981470933066,0.0135002166769184,-0.145971933639881,0.0918084183704381,0.350581462082627,-0.0514053604904842,0.0535044535698322,-0.162247404182108,0.0198037630830866,0.0461654497947312,"1N"
"W224",0.108234187612933,0.0522389906445484,0.156181024987103,-0.00485020181113152,0.106092297944145,0.110107595948075,0.166342232702731,0.0159600236054674,-0.238707815590433,-0.180783559307365,-0.155863984865037,-0.171086482316686,0.148221899143521,"2H"
"W229",0.0199243143047551,-0.0862750144210708,-0.0913410939165264,-0.1079780522258,-0.0869596999294412,0.0688571409789972,0.0843371431851198,0.0792706257459442,-0.110072269871006,0.0168670475390588,0.0304636832365304,-0.053718335092047,0.156510974044311,"2H"
"W234",0.0306612399618975,-0.0281786213236553,-0.0975217449084426,-0.0515780990573664,-0.0433753289490474,-0.135453973869849,-0.0440010287530108,0.192666889616855,0.0333046152190605,0.0954325103818106,-0.0121675510648533,0.0138769810672231,0.00431413358488232,"2H"
