"","ID","BW1N","BW2H","ME1N","ME2H","BW 1N - ME 1N","BW 1N - BW 2H","BW 1N - ME 2H","ME 1N - BW 2H","ME 1N - ME 2H","BW 2H - ME 2H"
"11433","novel_gene_NC_056011.1_36554","-0.2839418","-0.3306851","-0.1485435","-0.2817965","0.960136987689628","0.979173703386757","0.979173703386757","0.960136987689628","0.960136987689628","0.979173703386757"
"11434","novel_gene_NC_056011.1_36911","5.048429","4.988852","5.148260","5.199381","0.116853814772741","0.220857392186226","0.0115388988883926","0.0064120751003327","0.224361971749302","0.000508237566872401"
"11435","novel_gene_NC_056011.1_36919","4.262249","4.148560","4.438144","4.497701","0.00656400276450745","0.0672679832021775","0.00037197992008078","2.17564576525439e-05","0.205103399023393","1.48685253296315e-06"
"11436","novel_gene_NC_056011.1_36923","4.320591","4.061555","4.253321","4.295643","0.266540815300372","0.00144212692013826","0.61863597771482","0.0128119214168617","0.45480965328102","0.00217587059028241"
"11437","novel_gene_NC_056011.1_37084","7.263973","7.111000","6.849163","6.956649","4.04132812170563e-09","0.00222299888286492","1.50333311373407e-06","1.08065302308592e-05","0.0265706635106729","0.00641759224671442"
"11438","novel_gene_NC_056011.1_37087","0.5349030","0.7014632","1.0372729","1.3185923","0.012810584152071","0.32256209668842","0.000582732998086294","0.0866494093522267","0.120034972169523","0.00315047948382618"
"11439","novel_gene_NC_056011.1_37107","0.9130830","0.9495104","1.3934761","1.5465879","0.00010164199502153","0.591148132948546","7.68906572438625e-06","0.000214498008213403","0.179979825877556","8.20058484399347e-06"
"11440","novel_gene_NC_056011.1_37153","2.218426","2.032443","1.463675","1.408301","6.49005013753579e-05","0.419752409541786","5.92629872443202e-05","0.00028572988523047","0.686467537697244","0.000159479295324258"
"11441","novel_gene_NC_056011.1_37163","4.256745","4.176756","2.969278","2.990568","3.12703194804796e-08","0.843886733603814","3.45506510544121e-08","3.12703194804796e-08","0.921773070947144","3.45506510544121e-08"
"11442","novel_gene_NC_056011.1_37208","-0.4366616","-0.4579882","-0.1760145","-0.5541730","0.117683606179157","0.830386431722691","0.570214196564088","0.0924211880672335","0.0353435163637641","0.588335062209916"
"11443","novel_gene_NC_056011.1_37320","2.360875","2.248096","1.948308","1.639369","0.00223877284539566","0.230826466855336","9.81295121322037e-06","0.0246907755194823","0.0246907755194823","8.30359860883144e-05"
"11444","novel_gene_NC_056011.1_37322","2.423871","2.334910","2.103091","1.759528","0.0410968661408551","0.416504277002245","0.000467480716956987","0.154883501997085","0.0410968661408551","0.00135401321939414"
"11445","novel_gene_NC_056011.1_37459","1.8802384","2.0539586","1.3055554","0.9911683","0.000893785454828236","0.216421300582441","4.27041425319551e-06","1.49348384183582e-05","0.0316823946903042","8.44258605476229e-08"
"11446","novel_gene_NC_056011.1_37614"," 0.7386048"," 0.8844117"," 0.1869263","-0.1668299","0.220209907172157","0.816139605491237","0.0862465409449274","0.157985918397493","0.460836445678802","0.0743490922245676"
"11447","novel_gene_NC_056011.1_37622","1.889947","1.852927","1.851920","1.678934","0.869745378165048","0.869745378165048","0.575308083892869","0.869745378165048","0.575308083892869","0.575308083892869"
"11448","novel_gene_NC_056011.1_3766","0.86171597","0.71172256","0.59969356","0.09761957","0.360226544323509","0.557832526129106","0.00327371160819987","0.557832526129106","0.0163731919469055","0.00526487997173508"
"11449","novel_gene_NC_056011.1_37882","1.666044","1.965365","2.196609","1.825708","0.166241002146092","0.200185555119766","0.570306099726806","0.570306099726806","0.200185555119766","0.389106563285087"
"11450","novel_gene_NC_056011.1_37973"," 0.0915179"," 0.1599948"," 0.4359895","-0.6198003","0.764028096834234","0.764028096834234","0.261803812425673","0.764028096834234","0.169902064389448","0.173790017433112"
"11451","novel_gene_NC_056011.1_38139","1.024550","1.003448","1.170120","1.203378","0.0381207247513354","0.944213316094242","0.0327284501924866","0.0381207247513354","0.80735694892208","0.0327284501924866"
"11452","novel_gene_NC_056011.1_38148","0.2002394","0.2830365","0.4097874","0.4468211","0.00404222841246277","0.17033128507181","0.0021068786329387","0.0739020633000073","0.553966809122255","0.0281140762676253"
"11453","novel_gene_NC_056011.1_38150","0.1794302","0.2989267","0.6155961","0.7258400","9.48140848076136e-06","0.141039383539121","7.74824939357736e-07","0.000341882891940591","0.157350352902104","1.06907223964861e-05"
"11454","novel_gene_NC_056011.1_38613","2.916984","2.025501","3.261137","1.930107","0.495818174885198","0.0937286340185804","0.156100171260785","0.0273437037644443","0.0403211838949462","0.701448190001721"
"11455","novel_gene_NC_056011.1_38689","1.0329970","0.9605796","0.7915133","0.9376558","0.0884764362559772","0.494755607270314","0.357282190165434","0.244601094861421","0.345149837044927","0.701067615676916"
"11456","novel_gene_NC_056011.1_38693","1.426355","1.407096","1.343088","1.246712","0.336653796470357","0.894621543700146","0.0531209230871935","0.336653796470357","0.31739683725124","0.0531209230871935"
"11457","novel_gene_NC_056011.1_38695","2.421764","2.389538","2.281425","2.292288","0.18094671897354","0.83571216738352","0.18094671897354","0.18094671897354","0.932953042867878","0.18094671897354"
"11458","novel_gene_NC_056011.1_38697"," 0.28968179","-0.10583672"," 0.08533861"," 0.02815970","0.356222878031343","0.119097718546467","0.335975429475821","0.356222878031343","0.728965010572691","0.487585408992337"
"11459","novel_gene_NC_056011.1_38699","1.847576","1.805033","1.733388","1.675351","0.206053734990151","0.567928418760101","0.117161372384914","0.403736491998241","0.482405504254151","0.182683121018736"
