"","ID","BW1N","BW2H","ME1N","ME2H","BW 1N - ME 1N","BW 1N - BW 2H","BW 1N - ME 2H","ME 1N - BW 2H","ME 1N - ME 2H","BW 2H - ME 2H"
"18750","Suco","5.846146","5.843483","5.811185","5.926506","0.747090700858128","0.813790168970142","0.747090700858128","0.747090700858128","0.747090700858128","0.747090700858128"
"18751","Suds3","6.110146","6.454448","6.339929","6.480308","0.477394150849409","0.188097846537663","0.188097846537663","0.538792754518409","0.538792754518409","0.925898811865059"
"18752","Sufu","4.071821","4.238537","4.096135","4.055229","0.965207625256975","0.504082822499807","0.965207625256975","0.504082822499807","0.965207625256975","0.504082822499807"
"18753","Sugp1","5.201642","5.089096","5.331739","5.334602","0.0500000383184274","0.11162999734274","0.0500000383184274","0.00120796053999693","0.961748846199365","0.00120796053999693"
"18754","Sugp2","3.585362","3.642031","4.130172","4.196753","1.12863031115503e-11","0.244273318717801","1.12863031115503e-11","3.36870515788104e-11","0.228313833040858","1.32351831383231e-11"
"18755","Sugt1","6.450337","6.484418","6.424936","6.673372","0.946131017617563","0.954539057377266","0.10428246695734","0.946131017617563","0.10428246695734","0.10428246695734"
"18756","Sulf1","9.244571","8.654254","8.260622","6.522795","0.433463401981392","0.608283632175359","0.0173355593039223","0.608283632175359","0.0703952918545269","0.0309615166960662"
"18757","Sulf2","7.153949","7.130973","7.159830","6.901170","0.950850476437326","0.950850476437326","0.523830739577828","0.950850476437326","0.523830739577828","0.523830739577828"
"18758","Sult1e1","1.814558","2.855001","2.994333","3.264630","0.23166961603913","0.23166961603913","0.23166961603913","0.98385122551099","0.98385122551099","0.98385122551099"
"18759","Sult4a1","2.4265414","2.2604491","0.4722395","0.5118267","1.61520271276906e-09","0.526667482221439","1.94249027369127e-09","1.94249027369127e-09","0.981729238528276","4.29885996994721e-09"
"18760","Sumf1","5.213336","5.017388","5.363299","5.482532","0.0669820566856315","0.0324704757117978","0.00421156421125078","0.00030729334813641","0.159440686661977","1.68990616740308e-05"
"18761","Sumf2","4.361255","4.243235","4.239139","4.286969","0.942081535183706","0.942081535183706","0.955322142443735","0.955322142443735","0.942081535183706","0.942081535183706"
"18762","Sumo1","6.696702","6.828790","6.886418","7.093304","0.251924997138937","0.506920335847548","0.0148946163093168","0.506920335847548","0.123051710552528","0.0416770958113103"
"18763","Sumo2","7.358935","7.496719","7.419302","7.496709","0.759971764083113","0.759971764083113","0.759971764083113","0.759971764083113","0.759971764083113","0.759971764083113"
"18764","Sumo3","6.365963","6.377781","6.432907","6.538482","0.58852698849795","0.953211362268647","0.164282896067049","0.58852698849795","0.398954905278126","0.164282896067049"
"18765","Sun1","5.793277","5.890261","6.137584","6.274668","0.0270697151922196","0.400632870055326","0.00857085677035867","0.120681364695706","0.400632870055326","0.0270697151922196"
"18766","Sun2","6.618627","5.993212","5.754977","5.668179","0.0487966886253457","0.204059605977105","0.0487966886253457","0.452575845001877","0.796990321048712","0.398667712385234"
"18767","Suox","3.582540","3.533259","4.457205","4.657746","0.000267548051607614","0.871565676820986","6.29926198766289e-05","0.000169816956847208","0.45910049594031","5.77953982332353e-05"
"18768","Supt16h","7.231915","7.209103","7.497378","7.385462","0.526259203072601","0.933493733937832","0.643184205929693","0.526259203072601","0.702967561329291","0.643184205929693"
"18769","Supt20h","5.443211","5.394959","5.412826","5.426559","0.893845905056386","0.893845905056386","0.893845905056386","0.893845905056386","0.893845905056386","0.893845905056386"
"18770","Supt3h","3.066125","3.130364","3.304204","3.273348","0.40862621040809","0.848523309574609","0.40862621040809","0.40862621040809","0.858327859120375","0.428300633245857"
"18771","Supt4h1","5.609213","5.544398","5.543005","5.820571","0.614614263895537","0.614614263895537","0.138542360203684","0.878853606140073","0.0482882891044584","0.0482882891044584"
"18772","Supt5h","7.553967","7.504927","7.613260","7.575132","0.857270042291283","0.857270042291283","0.857270042291283","0.857270042291283","0.857270042291283","0.857270042291283"
"18773","Supt6h","7.261581","6.913991","7.046011","6.856688","0.46708821602409","0.254805489992733","0.227769585396551","0.556853913241387","0.46708821602409","0.643302215871207"
"18774","Supt7l","4.645146","4.426200","4.321890","4.323955","0.0776801979388949","0.219542090631131","0.0776801979388949","0.539954407884336","0.976605793465559","0.539954407884336"
"18775","Supv3l1","4.459992","4.392944","4.691489","4.763506","0.0410356883271402","0.353793974423868","0.00879998712426206","0.00510871742062514","0.4142158819072","0.00136741385176199"
"18776","Surf2","7.575116","7.463774","7.606562","7.694692","0.776564723324198","0.70388201042776","0.70388201042776","0.70388201042776","0.776564723324198","0.70388201042776"
"18777","Surf4","7.946139","7.851971","7.940441","8.038831","0.983227045201128","0.777627323208407","0.777627323208407","0.777627323208407","0.777627323208407","0.777627323208407"
"18778","Surf6","5.075589","4.956062","5.167387","5.040400","0.715150475393701","0.715150475393701","0.907469941558008","0.715150475393701","0.715150475393701","0.715150475393701"
"18779","Susd1","3.064991","3.087321","3.270744","3.408505","0.455083946894716","0.991521892438891","0.219650292962594","0.455083946894716","0.455083946894716","0.219650292962594"
"18780","Susd2","4.742071","3.674154","3.860160","2.955806","0.568404083102092","0.568404083102092","0.568404083102092","0.886930243824278","0.568404083102092","0.568404083102092"
"18781","Susd3","3.936375","4.478895","4.360217","4.684278","0.455618338851515","0.294240840927468","0.294240840927468","0.684400706855553","0.605395691270711","0.684400706855553"
"18782","Susd4","1.523375","2.083096","1.779582","1.770806","0.64867383123384","0.62144668307154","0.64867383123384","0.632957324517803","0.981429456259168","0.632957324517803"
"18783","Susd6","4.665639","4.470458","4.577024","4.493241","0.714005139215802","0.714005139215802","0.714005139215802","0.714005139215802","0.714005139215802","0.953625531641288"
"18784","Suv39h1","6.754001","7.407278","7.652228","7.764323","0.0144721281269226","0.0815546395634024","0.0144721281269226","0.419394218714669","0.762674949938937","0.341147093488519"
"18785","Suv39h2","2.970870","3.258831","3.173812","3.210968","0.789891651352664","0.615930979404584","0.615930979404584","0.808680813271619","0.808680813271619","0.945741570481905"
"18786","Suz12","8.015301","8.112739","8.200281","8.141322","0.739534218968185","0.739534218968185","0.739534218968185","0.739534218968185","0.739534218968185","0.919394166501564"
