"","ID","BW1N","BW2H","ME1N","ME2H","BW 1N - ME 1N","BW 1N - BW 2H","BW 1N - ME 2H","ME 1N - BW 2H","ME 1N - ME 2H","BW 2H - ME 2H"
"2160","Cntnap1"," 0.33271577","-0.09783465","-0.22774593","-0.07219632","0.0388311938460755","0.0824582369868965","0.0824582369868965","0.647013730468954","0.647013730468954","0.890413104270568"
"2161","Cntnap2","2.002833","1.799841","1.529357","1.464146","0.0275166518755891","0.347977629892287","0.0258212500528984","0.148193297181624","0.707624959776555","0.101161810947491"
"2162","Cntrl","5.435454","5.454991","5.726832","5.617697","0.000360665160155374","0.851111160333895","0.0193481402301549","0.000360665160155374","0.111342781055135","0.0207211250830837"
"2163","Cntrob","3.155274","3.223713","3.745170","3.659443","6.91394806975733e-06","0.469463882427553","7.55828656021841e-05","2.03709338063989e-05","0.31460957726336","0.000355458290041165"
"2164","Coasy","4.694470","4.804432","4.979200","4.877877","0.0107902503915314","0.305646600400019","0.0859895372211989","0.0758438146071985","0.3049461362155","0.305646600400019"
"2165","Cobl","5.843695","5.763112","5.650823","5.549024","0.121658571038049","0.508576770405386","0.0367838700056825","0.316584202273746","0.341670604215123","0.0835759568384262"
"2166","Cobll1","6.732868","6.657063","6.828959","6.820915","0.263774548807159","0.360131830595835","0.263774548807159","0.0570472899272122","0.910205254189894","0.0570472899272122"
"2167","Cog1","6.313864","6.289270","6.207904","6.161118","0.0102292047896341","0.495899791461887","0.00141458934226223","0.0400046026210098","0.253393070541419","0.00408403706131877"
"2168","Cog2","5.557544","5.567207","5.315208","5.317400","7.19638013776079e-06","0.97666990552882","9.79224278899071e-06","7.19638013776079e-06","0.97666990552882","7.19638013776079e-06"
"2169","Cog3","5.202954","5.176346","5.257568","5.193139","0.45305081780112","0.772876953808534","0.791706996560903","0.366610714502842","0.394693433946155","0.791706996560903"
"2170","Cog4","5.944097","5.913423","5.634561","5.569838","1.08039643243558e-13","0.209110700317224","5.01173857884637e-14","5.88614379888026e-13","0.0101066861606805","8.02635874617584e-14"
"2171","Cog5","5.100925","5.131618","4.958147","5.002943","0.00588814603116113","0.482068619315506","0.0436361736146922","0.00163539043378009","0.34812034485414","0.0110424214975891"
"2172","Cog6","5.669105","5.664094","5.589891","5.561144","0.426289616928281","0.892780686553558","0.27442833803953","0.426289616928281","0.590056288901043","0.27442833803953"
"2173","Cog7","4.862257","4.851126","4.613973","4.794515","0.0127370756152396","0.947547601814001","0.483900226946167","0.0127370756152396","0.0639455414961946","0.483900226946167"
"2174","Cog8","3.973297","3.967317","4.321278","4.244227","6.91561716813725e-06","0.953209444788405","9.4181299835809e-05","6.91561716813725e-06","0.347800161204997","7.61596578876467e-05"
"2175","Coil","3.678982","3.758500","3.547369","3.478916","0.003105734257028","0.0844482912996823","4.88816989551979e-05","2.86576294035684e-05","0.0844482912996823","7.10962057958954e-07"
"2176","Col11a1","1.1289769","0.8175512","1.6311321","1.9371157","0.3864558396845","0.513508498636486","0.150238202253468","0.150238202253468","0.513508498636486","0.0921324897364278"
"2177","Col11a2","1.170570","1.318884","1.431660","1.446570","0.770332191741536","0.770332191741536","0.770332191741536","0.770332191741536","0.852273727968866","0.770332191741536"
"2178","Col12a1","5.412777","5.250235","5.523810","5.515359","0.589702150086635","0.589702150086635","0.589702150086635","0.28147599747114","0.979434610643046","0.28147599747114"
"2179","Col13a1","2.309915","2.168132","2.232030","2.373233","0.809123394031312","0.809123394031312","0.809123394031312","0.809123394031312","0.809123394031312","0.809123394031312"
"2180","Col14a1","1.525837","1.239395","1.090042","1.391883","0.763002763906747","0.763002763906747","0.763002763906747","0.763002763906747","0.763002763906747","0.897816115605123"
"2181","Col15a1","7.431019","7.455820","6.455066","6.123106","0.00480871354234207","0.859659992488772","0.000874824601857335","0.00322661053411004","0.386252166467983","0.000796203478946505"
"2182","Col16a1","4.452549","4.050292","5.360735","5.253452","0.00110052255436324","0.276129763805936","0.00206488235511756","6.06284385023021e-05","0.792529634091207","9.28348385655873e-05"
"2183","Col17a1","2.779519","2.907903","2.233883","2.174828","0.262360109663257","0.91173628854931","0.262360109663257","0.262360109663257","0.947807842375114","0.262360109663257"
"2184","Col18a1","7.101997","7.001430","6.692273","6.813072","0.533930193695952","0.958877820267439","0.533930193695952","0.533930193695952","0.824541234463557","0.533930193695952"
"2185","Col19a1","1.5929243","2.6178392","0.3637102","1.0836821","0.0112461295183803","0.0425027411152026","0.240166707545696","3.59187622180845e-05","0.0964877966416305","0.00364434239331295"
"2186","Col1a1","7.801698","7.639597","7.984409","7.671610","0.776897174283509","0.776897174283509","0.776897174283509","0.646780527938067","0.646780527938067","0.97072265003041"
"2187","Col1a2","7.671410","7.440604","7.843722","7.622319","0.475809912793168","0.475809912793168","0.822321722335615","0.308979511359274","0.475809912793168","0.475809912793168"
"2188","Col20a1","0.3664242","0.5927447","1.0406154","1.4550121","0.00099868077368362","0.241243720213203","9.45996321864109e-06","0.0169362093575492","0.0366369824204404","0.000104200493241182"
"2189","Col22a1"," 0.3927899","-0.2534033","-0.5603066","-0.3896512","0.0749013634352058","0.21593131268369","0.198891124997286","0.516459043455859","0.562739745157425","0.817750177536145"
"2190","Col23a1","1.0836606","1.2566346","1.2503724","0.8820105","0.755494660542262","0.755494660542262","0.755494660542262","0.998652862881132","0.755494660542262","0.755494660542262"
"2191","Col25a1","2.736627","2.572573","2.757804","2.483139","0.904019883807592","0.761348026809632","0.761348026809632","0.761348026809632","0.761348026809632","0.889929967487696"
"2192","Col26a1"," 0.9063963"," 1.1030691","-0.4986634","-0.2343954","3.36328270894443e-05","0.400237041407595","0.000359214105624223","4.10496167709785e-06","0.400237041407595","3.36328270894443e-05"
"2193","Col27a1","0.9275181","0.6553879","1.7592937","1.9679752","0.0162400347309608","0.497257436110083","0.00471781601763442","0.00449739418532102","0.497257436110083","0.00177733927689355"
"2194","Col3a1","9.040298","8.910470","8.985277","8.879529","0.732318796326656","0.732318796326656","0.732318796326656","0.732318796326656","0.732318796326656","0.732318796326656"
"2195","Col4a1","12.27983","12.30832","11.93739","11.85145","1.63337187838615e-07","0.577693358426333","1.61386243424127e-08","3.86943167874815e-08","0.106008726511469","6.81708505597393e-09"
"2196","Col4a2","11.29269","11.33835","10.96096","10.79107","1.87680887708628e-06","0.423540748227803","5.83718461517143e-09","2.20217916065538e-07","0.00445612944494432","1.43774587535222e-09"
"2197","Col4a3","0.36438800","0.02541643","0.84304981","0.49764657","0.272912947811614","0.437750792543013","0.484321572942254","0.0684738935009741","0.484321572942254","0.233227637644683"
"2198","Col4a5","1.706766","1.306150","1.986077","1.827474","0.293357671086783","0.224916343100012","0.520074951645945","0.0277357921815845","0.520074951645945","0.0787707018353216"
"2199","Col5a1","6.877697","6.625041","6.657671","6.422070","0.180074702074905","0.180074702074905","0.0328276221041476","0.943695033448586","0.180074702074905","0.180074702074905"
"2200","Col5a2","6.135226","5.860633","6.188258","6.141388","0.918395906838768","0.136037253229026","0.951635257195523","0.136037253229026","0.918395906838768","0.136037253229026"
